example ID,text,respondent,sex,year of birth,language,language group,education,comments,non-standard government,selecting predicate,type of speaker,context type,toponym/year,initial phoneme,omitted,preposition,preposition_eng,PP,semantic type,
1,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходила,,spatial,,consonant,,на,na 'on(to)',на базар,goal,
2,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас,,
3,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,за,za 'behind; for',за трудодни,,
4,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,за,za 'behind; for',за трудодни,,
5,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходят,,spatial,,consonant,,на,na 'on(to)',на базар,goal,
6,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходят,,other,,consonant,,на,na 'on(to)',на машинах,instrument,
7,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ездят,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб,goal,
8,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,дорога,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб,goal,
9,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у кого,,
10,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,шла,,spatial,toponym,consonant,,через,čerez 'via/through',через Чох,path,
11,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,дорога,,spatial,toponym,consonant,,до,"do 'up to, until'",до Кумуха,goal,
12,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас,,
13,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Кумухе,locative,
14,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в наших магазинах,locative,
15,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',в Олоне,locative,
16,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходить,,spatial,,consonant,,в,v 'in(to)',в села Гунибского района,goal,
17,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Салта,goal,
18,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Кегер,goal,
19,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ездить,,spatial,toponym,consonant,да,в,v 'in(to)',Гуниб,goal,
20,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,была,,spatial,,consonant,,из,"iz 'from, of'",из села,source,
21,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,была,,spatial,,consonant,,из,"iz 'from, of'",из лахского села,source,
22,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,на,na 'on(to)',на этом,locative,
23,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,,vowel,,на,na 'on(to)',на этой горе,locative,
24,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,в,v 'in(to)',в подарок,,
25,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,отправлять,,spatial,,consonant,,из,"iz 'from, of'",из нашего,source,
26,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,отправлять,,spatial,toponym,consonant,,из,"iz 'from, of'",из Дагестана,source,
27,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,умерла,,other,,consonant,,от,ot 'from',от тоски,cause,
28,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у ней,,
29,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,приходить,,other,,consonant,,к,k 'to',к нам,goal,
30,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,были переселены,,spatial,toponym,consonant,,из,"iz 'from, of'",из Гунибского района,source,
31,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у них,,
32,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,за,za 'behind; for',за этим,,
33,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,из-за,iz-za 'due to',из-за этих вещей,cause,
34,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,в,v 'in(to)',в бедности,,
35,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,переселять,,spatial,,vowel,,в,v 'in(to)',в эти богатые чеченские села,goal,
36,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,vowel,,в,v 'in(to)',в это,,
37,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,с,s ‘with/from/off’,с детьми,comitative,
38,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,vowel,,на,na 'on(to)',на этой горе,locative,
39,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,приходить,,spatial,toponym,consonant,,из,"iz 'from, of'",из Шитлиба,source,
40,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,приходить,,other,,consonant,,к,k 'to',к нам,goal,
41,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,были,,spatial,toponym,vowel,,из,"iz 'from, of'",из Эбоха,source,
42,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,в,v 'in(to)',в этих старших классах,locative_temp,
43,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,,vowel,,на,na 'on(to)',на уроках русского языка и математики,locative_temp,
44,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,с,s ‘with/from/off’,с чем-то,,
45,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,institution,consonant,,в,v 'in(to)',в мед.институте,locative,
46,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,institution,consonant,,в,v 'in(to)',в пед. институте,locative,
47,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,toponym,consonant,,в,v 'in(to)',в Ленинграде,locative,
48,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Махачкале,locative,
49,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,,consonant,,после,posle 'after',после меня,locative_temp,
50,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,вызвать,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб,goal,
51,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,учиться,,spatial,toponym,consonant,,в,v 'in(to)',в Чародинском районе,locative,
52,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,поехали,,spatial/temporal,institution,vowel,да,в,v 'in(to)',в армию,goal,
53,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у нашего гостя,,
54,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,жить,,spatial,toponym,consonant,да,в,v 'in(to)',в Дусрахе,locative,
55,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,temporal,,consonant,да,на,na 'on(to)',на большом перемене,locative_temp,
56,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,быть,,spatial,toponym,vowel,да,в,v 'in(to)',в Азербайджанах,locative,
57,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,досталось,,other,,consonant,,от,ot 'from',от них,source,
58,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
59,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,в расшифровке предлог опущен,,,,spatial,toponym,consonant,,в,v 'in(to)',в Махачкале,locative,
60,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
61,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,temporal,temp_point,vowel,,в,v 'in(to)',в этом году,locative_temp,
62,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,лежать,,spatial,,consonant,,около,okolo 'near',около матери,locative,
63,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,лежать,,spatial,,vowel,,около,okolo 'near',около отца,locative,
64,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,лежать,,spatial,,consonant,,за,za 'behind; for',за сеткой,locative,
65,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,имеется,,other,,consonant,,в,v 'in(to)',в виду,,
66,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,жить,all prepositions,temporal,temp_point,consonant,да,с,s ‘with/from/off’,с шиисят{шестьдесят*} третьего года,source_temp,
67,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,посылали,,spatial,,consonant,да,в,v 'in(to)',в кутан,goal,
68,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,делать,,other,,consonant,,с,s ‘with/from/off’,со мной,comitative,
69,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,all prepositions,temporal,,consonant,да,на,na 'on(to)',на седьмой сутки,locative_temp,
70,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,посылали,,spatial,,consonant,да,в,v 'in(to)',в кутан,goal,
71,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,ходить,,spatial,,consonant,да,в,v 'in(to)',в кутаны,goal,
72,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у нас,,
73,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,иди,,other,,consonant,,к,k 'to',к черту,goal,
74,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,приезжай,,spatial,toponym,consonant,,в,v 'in(to)',в Махачкалу,goal,
75,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,поступила,all prepositions,spatial/temporal,,consonant,да,на,na 'on(to)',на работу,goal,
76,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,поступила,all prepositions,spatial/temporal,institution,consonant,да,на,na 'on(to)',на хлебозавод,goal,
77,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у нас,,
78,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у нас,,
79,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у нас,,
80,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Махачкале,locative,
81,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,работала,,spatial,institution,consonant,,на,na 'on(to)',на хлебозаводе,locative,
82,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,да,изучала (Коран),,other,,consonant,,от,ot 'from',от вот это читтабского аварца,source,
83,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,для,dlja 'for',для себя,,
84,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,беру,,other,,consonant,,с,s ‘with/from/off’,с собой,,
85,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,да,в,v 'in(to)',в каждом классе,locative_group,
86,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,присоединять,,other,,consonant,,к,k 'to',к нам,goal,
87,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у кого,,
88,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,вернулась,all prepositions,temporal,,consonant,да,на,na 'on(to)',на старости лет,locative_temp,
89,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у нас,,
90,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,other,,consonant,,у,u 'at',у него,,
91,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,умер,,temporal,,consonant,да,в,v 'in(to)',в семьдесят шесть лет,locative_temp,
92,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,temporal,,vowel,,при,pri 'under/during',при его жизни,locative_temp,
93,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,yes,,,temporal,,consonant,,по,po 'along/about/up to',по четыре класс,locative_temp,
94,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,temporal,,vowel,,при,pri 'under/during',при его жизни,locative_temp,
95,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,,,temporal,temp_point,vowel,да,в,v 'in(to)',в одиннадцатом году,locative_temp,
96,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,забрали,,spatial/temporal,institution,vowel,да,в,v 'in(to)',в армию,goal,
97,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,забрали,,spatial/temporal,institution,vowel,да,в,v 'in(to)',в армию,goal,
98,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,поехал,,spatial,,consonant,,до,"do 'up to, until'",до района,goal,
99,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,,,смотреть,,other,,consonant,,за,za 'behind; for',за баранами,,
100,2010-Shalib-1,archib.шалиб.syn-40,f,1942,Lak,Lak,secondary education,из-за?,,,,other,,vowel,,за,za 'behind; for',за этой причины,cause,
101,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,разговаривали,,other,,consonant,,с,s ‘with/from/off’,с ним,comitative,
102,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,разговаривали,all prepositions,other,,consonant,да,на,na 'on(to)',на кубачинском,instrument,
103,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,с,s ‘with/from/off’,с мёдом,,
104,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у них,,
105,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,vowel,,на,na 'on(to)',на арабское вот это движение,,
106,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,отношение,all prepositions,other,,consonant,да,к,k 'to',к религии,,
107,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
108,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,temporal,,consonant,,при,pri 'under/during',при коммунизме,locative_temp,
109,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,ходили,all prepositions,spatial,,consonant,да,на,na 'on(to)',на кладбище,goal,
110,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у нас,,
111,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,бывали,,spatial,,consonant,,возле,vozle 'near',возле кладбища,locative,
112,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у вас,,
113,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,ходят,all prepositions,spatial,,consonant,да,на,na 'on(to)',на кладбище,goal,
114,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,institution,consonant,,в,v 'in(to)',в школе,locative,
115,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,грех,all prepositions,other,,consonant,да,на,na 'on(to)',на душу,,
116,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,не верю,,other,,consonant,,в,v 'in(to)',в такие обманные вещи,,
117,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,уехать,,spatial,toponym,consonant,,в,v 'in(to)',в Кизляр,goal,
118,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
119,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
120,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
121,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,быть,,spatial,toponym,consonant,,под,pod 'below',под Волгоградом,locative,
122,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,юыть,,spatial,,vowel,да,в,v 'in(to)',в окопах,locative,
123,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,живет,,spatial,toponym,vowel,да,в,v 'in(to)',в Избирге,locative,
124,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,other,,consonant,,у,u 'at',у меня,,
125,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,учился,,spatial,institution,consonant,,в,v 'in(to)',в школе,locative,
126,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,,с,s ‘with/from/off’,с Воронежа,source,
127,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,,с,s ‘with/from/off’,с Каунаса,source,
128,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,,с,s ‘with/from/off’,с Ростовского,source,
129,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,,с,s ‘with/from/off’,с Украины,source,
130,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,temporal,temp_point,consonant,да,в,v 'in(to)',в шестьдесят... седьмом,locative_temp,
131,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,пошёл,,other,,consonant,да,в,v 'in(to)',в первый класс,goal,
132,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,жил,,temporal,temp_point,consonant,да,в,v 'in(to)',в прошлом году,locative_temp,
133,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,жил,,spatial,toponym,consonant,да,в,v 'in(to)',в Москве,locative,
134,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,работал,,spatial,institution,consonant,да,в,v 'in(to)',в банке,locative,
135,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Нижнем Новгороде,locative,
136,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Дагестане,locative,
137,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,поехал,,spatial/temporal,,consonant,,на,na 'on(to)',на заработки,goal,
138,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,temporal,,vowel,,после,posle 'after',после отпуска,locative_temp,
139,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Железнодорожном,locative,
140,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,не вернулся,,spatial/temporal,,consonant,,на,na 'on(to)',на работу,goal,
141,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Железнодорожном,locative,
142,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,toponym,consonant,,от,ot 'from',от Москвы,source,reference point
143,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,ходить,all prepositions,other,,consonant,да,к,k 'to',к нам,goal,
144,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,ходить,,spatial/temporal,institution,consonant,,в,v 'in(to)',в школу,goal,
145,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,ходить,,spatial/temporal,institution,vowel,да,в,v 'in(to)',в интернат,goal,
146,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,temporal,temp_point,consonant,да,в,v 'in(to)',в шестьдесят первом году,locative_temp,
147,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,,consonant,,от,ot 'from',от той речки,source,reference point
148,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,institution,consonant,,на,na 'on(to)',на нефтекачке,locative,
149,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,spatial,,consonant,,в,v 'in(to)',в домах,locative,
150,2009-Itsari-2,itsari.add.syn-2,m,1958,Itsari Dargwa,Dargwa,secondary education,,,,,temporal,temp_point,consonant,да,в,v 'in(to)',в семьдесят пятом году,locative_temp,
151,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,жить,,spatial,,vowel,,в,v 'in(to)',в этих... крайновских землях,locative,
152,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в селении,locative,
153,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,идти,,other,,consonant,,на,na 'on(to)',на выборы,goal,
154,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас,,
155,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,судить,,other,,consonant,,по,po 'along/about/up to',по нашим отчетам,,
156,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,по,po 'along/about/up to',по школьным отчетам,,
157,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,temp_point,consonant,,в,v 'in(to)',в семидесятые годы,locative_temp,
158,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,учиться,,spatial,institution,consonant,,в,v 'in(to)',в школе,locative,
159,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,temp_point,consonant,,с,s ‘with/from/off’,с какого года,source_temp,
160,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,temp_point,consonant,,с,s ‘with/from/off’,с девяностого четвертого года,source_temp,
161,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,temp_point,consonant,да,в,v 'in(to)',в девяносто четвертом году,locative_temp,
162,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,temp_point,consonant,,в,v 'in(to)',в предыдущие годы,locative_temp,
163,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,temp_point,consonant,,до,"do 'up to, until'",до девяносто четвертого года,locative_temp,
